[12:11:07] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/INFO]: Reloading ResourceManager: Default
[12:11:11] [Worker-Main-2/INFO]: Loaded 7 recipes
[12:11:12] [Worker-Main-2/INFO]: Loaded 927 advancements
[12:11:14] [Server thread/INFO]: Starting minecraft server version 1.16.1
[12:11:14] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:11:14] [Server thread/INFO]: Loading properties
[12:11:14] [Server thread/INFO]: Default game type: SURVIVAL
[12:11:14] [Server thread/INFO]: Generating keypair
[12:11:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:11:15] [Server thread/INFO]: Using epoll channel type
[12:11:15] [Server thread/INFO]: Preparing level "world"
[12:11:30] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:11:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[12:11:36] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:11:36] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:11:36] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:11:37] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:11:37] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[12:11:38] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:11:39] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[12:11:39] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[12:11:40] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[12:11:40] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[12:11:40] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[12:11:41] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[12:11:41] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[12:11:42] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[12:11:42] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[12:11:43] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[12:11:43] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[12:11:44] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[12:11:44] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[12:11:45] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[12:11:45] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[12:11:46] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[12:11:46] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[12:11:47] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[12:11:47] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[12:11:48] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[12:11:49] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[12:11:49] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[12:11:50] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[12:11:50] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[12:11:50] [Worker-Main-2/INFO]: Preparing spawn area: 19%
